Geo,Year,PropMetroHh,PropTownHh,PropRuralHh
Baker,1990,0,0.708198742,0.291801258
Benton,1990,0.759648642,0.007228057,0.233123301
Clackamas,1990,0.58105544,0.071561003,0.347383557
Clatsop,1990,0,0.644914428,0.355085572
Columbia,1990,0,0.504270375,0.495729625
Coos,1990,0,0.596436496,0.403563504
Crook,1990,0,0.458939977,0.541060023
Curry,1990,0,0.587424207,0.412575793
Deschutes,1990,0.331499712,0.108257831,0.560242457
Douglas,1990,0,0.526468089,0.473531911
Gilliam,1990,0,0.711773231,0.288226769
Grant,1990,0,0.672100516,0.327899484
Harney,1990,0,0.630393743,0.369606257
Hood River,1990,0,0.388840779,0.611159221
Jackson,1990,0.557627741,0.01066236,0.4317099
Jefferson,1990,0,0.361326963,0.638673037
Josephine,1990,0.366302491,0.023443242,0.610254267
Klamath,1990,0,0.661612393,0.338387607
Lake,1990,0,0.524823029,0.475176971
Lane,1990,0.626993837,0.098867959,0.274138204
Lincoln,1990,0,0.582764259,0.417235741
Linn,1990,0.371843076,0.281200381,0.346956543
Malheur,1990,0,0.56422162,0.43577838
Marion,1990,0.632805572,0.155988696,0.211205732
Morrow,1990,0,0.603876799,0.396123201
Multnomah,1990,0.936633152,0,0.063366848
Polk,1990,0.362912883,0.45043663,0.186650488
Sherman,1990,0,0.566862991,0.433137009
Tillamook,1990,0,0.463234352,0.536765648
Umatilla,1990,0,0.732182598,0.267817402
Union,1990,0,0.77204584,0.22795416
Wallowa,1990,0,0.581865773,0.418134227
Wasco,1990,0,0.657043206,0.342956794
Washington,1990,0.866741714,0.006620414,0.126637872
Wheeler,1990,0,0.51829198,0.48170802
Yamhill,1990,0,0.676952886,0.323047114
Baker,1995,0,0.698950284,0.301049716
Benton,1995,0.777575735,0.007165401,0.215258864
Clackamas,1995,0.57764993,0.078050546,0.344299524
Clatsop,1995,0,0.654673981,0.345326019
Columbia,1995,0,0.53761804,0.46238196
Coos,1995,0,0.589738006,0.410261994
Crook,1995,0,0.430255145,0.569744855
Curry,1995,0,0.658165597,0.341834403
Deschutes,1995,0.336786163,0.121199525,0.542014311
Douglas,1995,0,0.553251959,0.446748041
Gilliam,1995,0,0.745921709,0.254078291
Grant,1995,0,0.706269009,0.293730991
Harney,1995,0,0.634811205,0.365188795
Hood River,1995,0,0.38781597,0.61218403
Jackson,1995,0.583927322,0.014326801,0.401745877
Jefferson,1995,0,0.406555158,0.593444842
Josephine,1995,0.373425437,0.023492375,0.603082188
Klamath,1995,0,0.65805578,0.34194422
Lake,1995,0,0.529092487,0.470907513
Lane,1995,0.634418367,0.103101654,0.262479979
Lincoln,1995,0,0.588374032,0.411625968
Linn,1995,0.392380227,0.286195539,0.321424234
Malheur,1995,0,0.549962274,0.450037726
Marion,1995,0.633594647,0.158574329,0.207831024
Morrow,1995,0,0.691312999,0.308687001
Multnomah,1995,0.988608514,0,0.011391486
Polk,1995,0.360227041,0.462484312,0.177288647
Sherman,1995,0,0.575933203,0.424066797
Tillamook,1995,0,0.458144872,0.541855128
Umatilla,1995,0,0.720780308,0.279219692
Union,1995,0,0.781333056,0.218666944
Wallowa,1995,0,0.573644563,0.426355437
Wasco,1995,0,0.637876661,0.362123339
Washington,1995,0.854735556,0.006761127,0.138503318
Wheeler,1995,0,0.527014616,0.472985384
Yamhill,1995,0,0.718523465,0.281476535
Baker,2000,0,0.699330431,0.300669569
Benton,2000,0.799335967,0.008640443,0.19202359
Clackamas,2000,0.622036017,0.087782887,0.290181096
Clatsop,2000,0,0.655743257,0.344256743
Columbia,2000,0,0.57860472,0.42139528
Coos,2000,0,0.585627718,0.414372282
Crook,2000,0,0.459931945,0.540068055
Curry,2000,0,0.665094584,0.334905416
Deschutes,2000,0.475542931,0.128063919,0.39639315
Douglas,2000,0,0.568475028,0.431524972
Gilliam,2000,0,0.731953912,0.268046088
Grant,2000,0,0.672490833,0.327509167
Harney,2000,0,0.650722166,0.349277834
Hood River,2000,0,0.416546978,0.583453022
Jackson,2000,0.628363841,0.015439121,0.356197038
Jefferson,2000,0,0.39371544,0.60628456
Josephine,2000,0.395301808,0.023654197,0.581043995
Klamath,2000,0,0.654543777,0.345456223
Lake,2000,0,0.496983536,0.503016464
Lane,2000,0.671576598,0.108630942,0.21979246
Lincoln,2000,0,0.616798247,0.383201753
Linn,2000,0.421801265,0.297992953,0.280205782
Malheur,2000,0,0.569574569,0.430425431
Marion,2000,0.678309924,0.176194448,0.145495628
Morrow,2000,0,0.656508265,0.343491735
Multnomah,2000,1,0,0
Polk,2000,0.382496059,0.477991596,0.139512345
Sherman,2000,0,0.598424471,0.401575529
Tillamook,2000,0,0.447744167,0.552255833
Umatilla,2000,0,0.761123471,0.238876529
Union,2000,0,0.789231243,0.210768757
Wallowa,2000,0,0.579416182,0.420583818
Wasco,2000,0,0.65693734,0.34306266
Washington,2000,0.970933539,0.008496868,0.020569593
Wheeler,2000,0,0.505115027,0.494884973
Yamhill,2000,0,0.742879467,0.257120533
Baker,2005,0,0.717120651,0.282879349
Benton,2005,0.824467769,0.008224894,0.167307337
Clackamas,2005,0.676396837,0.093915699,0.229687464
Clatsop,2005,0,0.658114184,0.341885816
Columbia,2005,0,0.618256598,0.381743402
Coos,2005,0,0.601341434,0.398658566
Crook,2005,0,0.478159957,0.521840043
Curry,2005,0,0.729251045,0.270748955
Deschutes,2005,0.51682657,0.154517784,0.328655646
Douglas,2005,0,0.586860173,0.413139827
Gilliam,2005,0,0.770176501,0.229823499
Grant,2005,0,0.700353254,0.299646746
Harney,2005,0,0.657877932,0.342122068
Hood River,2005,0,0.43950797,0.56049203
Jackson,2005,0.672220032,0.016378031,0.311401937
Jefferson,2005,0,0.414053572,0.585946428
Josephine,2005,0.422810331,0.024757324,0.552432345
Klamath,2005,0,0.674490802,0.325509198
Lake,2005,0,0.512006903,0.487993097
Lane,2005,0.683582053,0.119568814,0.196849133
Lincoln,2005,0,0.639826233,0.360173767
Linn,2005,0.447170415,0.306920451,0.245909134
Malheur,2005,0,0.577476473,0.422523527
Marion,2005,0.688546225,0.183809439,0.127644336
Morrow,2005,0,0.647749919,0.352250081
Multnomah,2005,1,0,0
Polk,2005,0.390956075,0.520833444,0.08821048
Sherman,2005,0,0.616145336,0.383854664
Tillamook,2005,0,0.439783404,0.560216596
Umatilla,2005,0,0.808984659,0.191015341
Union,2005,0,0.789000224,0.210999776
Wallowa,2005,0,0.597596259,0.402403741
Wasco,2005,0,0.67283767,0.32716233
Washington,2005,0.99167163,0.00832837,0
Wheeler,2005,0,0.498330934,0.501669066
Yamhill,2005,0,0.807911448,0.192088552
Baker,2010,0,0.714175381,0.285824619
Benton,2010,0.850882901,0.00810234,0.141014759
Clackamas,2010,0.70770797,0.109018145,0.183273885
Clatsop,2010,0,0.678209413,0.321790587
Columbia,2010,0,0.630748479,0.369251521
Coos,2010,0,0.60486202,0.39513798
Crook,2010,0,0.529010415,0.470989585
Curry,2010,0,0.719229138,0.280770862
Deschutes,2010,0.512333928,0.193988936,0.293677136
Douglas,2010,0,0.574777203,0.425222797
Gilliam,2010,0,0.746301172,0.253698828
Grant,2010,0,0.672062771,0.327937229
Harney,2010,0,0.62410138,0.37589862
Hood River,2010,0,0.460231537,0.539768463
Jackson,2010,0.673144605,0.016678632,0.310176762
Jefferson,2010,0,0.430307006,0.569692994
Josephine,2010,0.529061437,0.030343097,0.440595467
Klamath,2010,0,0.67179823,0.32820177
Lake,2010,0,0.443517441,0.556482559
Lane,2010,0.69677997,0.120965968,0.182254061
Lincoln,2010,0,0.626775525,0.373224475
Linn,2010,0.45925786,0.30720523,0.233536911
Malheur,2010,0,0.587433041,0.412566959
Marion,2010,0.695969474,0.190263761,0.113766765
Morrow,2010,0,0.682424126,0.317575874
Multnomah,2010,1,0,0
Polk,2010,0.357573676,0.492762328,0.149663996
Sherman,2010,0,0.650056587,0.349943413
Tillamook,2010,0,0.467762517,0.532237483
Umatilla,2010,0,0.80053501,0.19946499
Union,2010,0,0.794036354,0.205963646
Wallowa,2010,0,0.591808218,0.408191782
Wasco,2010,0,0.688369108,0.311630892
Washington,2010,0.991030113,0.008969887,0
Wheeler,2010,0,0.531163525,0.468836475
Yamhill,2010,0,0.799564646,0.200435354
Baker,2015,0,0.707305372,0.292694628
Benton,2015,0.819549335,0.007726444,0.172724221
Clackamas,2015,0.711503951,0.109473799,0.17902225
Clatsop,2015,0,0.677873772,0.322126228
Columbia,2015,0,0.624515919,0.375484081
Coos,2015,0,0.609801511,0.390198489
Crook,2015,0,0.533834224,0.466165776
Curry,2015,0,0.734832929,0.265167071
Deschutes,2015,0.502151235,0.185766591,0.312082174
Douglas,2015,0,0.581152308,0.418847692
Gilliam,2015,0,0.716776499,0.283223501
Grant,2015,0,0.674591489,0.325408511
Harney,2015,0,0.638018501,0.361981499
Hood River,2015,0,0.449830613,0.550169387
Jackson,2015,0.665977666,0.016689916,0.317332418
Jefferson,2015,0,0.428383905,0.571616095
Josephine,2015,0.549912165,0.030060093,0.420027742
Klamath,2015,0,0.686585039,0.313414961
Lake,2015,0,0.438528315,0.561471685
Lane,2015,0.70155845,0.120220022,0.178221528
Lincoln,2015,0,0.630763368,0.369236632
Linn,2015,0.458810659,0.301293172,0.239896169
Malheur,2015,0,0.588301107,0.411698893
Marion,2015,0.689119456,0.186563656,0.124316888
Morrow,2015,0,0.694637146,0.305362854
Multnomah,2015,1,0,0
Polk,2015,0.354939542,0.478358553,0.166701906
Sherman,2015,0,0.665007259,0.334992741
Tillamook,2015,0,0.462386377,0.537613623
Umatilla,2015,0,0.787305807,0.212694193
Union,2015,0,0.774713233,0.225286767
Wallowa,2015,0,0.586741032,0.413258968
Wasco,2015,0,0.697983,0.302017
Washington,2015,0.980118768,0.00846287,0.011418363
Wheeler,2015,0,0.531081624,0.468918376
Yamhill,2015,0,0.785707212,0.214292788
Baker,2020,0,0.706935579,0.293064421
Benton,2020,0.802143661,0.007323818,0.190532521
Clackamas,2020,0.688335724,0.110712114,0.200952162
Clatsop,2020,0,0.679455199,0.320544801
Columbia,2020,0,0.610095559,0.389904441
Coos,2020,0,0.619214788,0.380785212
Crook,2020,0,0.532021902,0.467978098
Curry,2020,0,0.713637537,0.286362463
Deschutes,2020,0.512229513,0.184498097,0.30327239
Douglas,2020,0,0.590482453,0.409517547
Gilliam,2020,0,0.707791053,0.292208947
Grant,2020,0,0.676600194,0.323399806
Harney,2020,0,0.641272912,0.358727088
Hood River,2020,0,0.448134663,0.551865337
Jackson,2020,0.671031474,0.017149632,0.311818894
Jefferson,2020,0,0.426744196,0.573255804
Josephine,2020,0.559729455,0.030872662,0.409397883
Klamath,2020,0,0.679865985,0.320134015
Lake,2020,0,0.42458601,0.57541399
Lane,2020,0.705241229,0.12410492,0.170653851
Lincoln,2020,0,0.621127487,0.378872513
Linn,2020,0.453384321,0.294480753,0.252134926
Malheur,2020,0,0.586058126,0.413941874
Marion,2020,0.673824215,0.182432926,0.143742859
Morrow,2020,0,0.692031007,0.307968993
Multnomah,2020,0.987740885,0,0.012259115
Polk,2020,0.341904732,0.46928609,0.188809178
Sherman,2020,0,0.667058738,0.332941262
Tillamook,2020,0,0.454503012,0.545496988
Umatilla,2020,0,0.772468816,0.227531184
Union,2020,0,0.758293468,0.241706532
Wallowa,2020,0,0.586569959,0.413430041
Wasco,2020,0,0.696834368,0.303165632
Washington,2020,0.949080037,0.009323814,0.041596149
Wheeler,2020,0,0.529850746,0.470149254
Yamhill,2020,0,0.767540108,0.232459892
Baker,2025,0,0.707265428,0.292734572
Benton,2025,0.812957979,0.007030383,0.180011638
Clackamas,2025,0.687922449,0.117685846,0.194391706
Clatsop,2025,0,0.695998962,0.304001038
Columbia,2025,0,0.61416412,0.38583588
Coos,2025,0,0.630655229,0.369344771
Crook,2025,0,0.532693726,0.467306274
Curry,2025,0,0.699296275,0.300703725
Deschutes,2025,0.519604808,0.184869728,0.295525464
Douglas,2025,0,0.598688726,0.401311274
Gilliam,2025,0,0.712220975,0.287779025
Grant,2025,0,0.678252557,0.321747443
Harney,2025,0,0.645913475,0.354086525
Hood River,2025,0,0.451785595,0.548214405
Jackson,2025,0.677794527,0.01749936,0.304706113
Jefferson,2025,0,0.436608412,0.563391588
Josephine,2025,0.577689719,0.031708738,0.390601543
Klamath,2025,0,0.673779642,0.326220358
Lake,2025,0,0.416193854,0.583806146
Lane,2025,0.710262351,0.12657778,0.163159869
Lincoln,2025,0,0.626396568,0.373603432
Linn,2025,0.461370981,0.295628052,0.243000966
Malheur,2025,0,0.585179888,0.414820112
Marion,2025,0.676715274,0.184461064,0.138823662
Morrow,2025,0,0.699992049,0.300007951
Multnomah,2025,0.988616321,0,0.011383679
Polk,2025,0.343770251,0.478507859,0.17772189
Sherman,2025,0,0.668767871,0.331232129
Tillamook,2025,0,0.463019712,0.536980288
Umatilla,2025,0,0.780848878,0.219151122
Union,2025,0,0.758097393,0.241902607
Wallowa,2025,0,0.585207833,0.414792167
Wasco,2025,0,0.701142507,0.298857493
Washington,2025,0.950947105,0.011623989,0.037428907
Wheeler,2025,0,0.529304868,0.470695132
Yamhill,2025,0,0.773531149,0.226468851
Baker,2030,0,0.707896558,0.292103442
Benton,2030,0.819071803,0.006817315,0.174110882
Clackamas,2030,0.688648206,0.123788335,0.18756346
Clatsop,2030,0,0.713125809,0.286874191
Columbia,2030,0,0.622513857,0.377486143
Coos,2030,0,0.642747175,0.357252825
Crook,2030,0,0.534671435,0.465328565
Curry,2030,0,0.709286858,0.290713142
Deschutes,2030,0.525540163,0.186681688,0.287778149
Douglas,2030,0,0.607926253,0.392073747
Gilliam,2030,0,0.7164551,0.2835449
Grant,2030,0,0.680490256,0.319509744
Harney,2030,0,0.649367343,0.350632657
Hood River,2030,0,0.4556085,0.5443915
Jackson,2030,0.684460944,0.017891266,0.29764779
Jefferson,2030,0,0.445270539,0.554729461
Josephine,2030,0.596760702,0.032426124,0.370813174
Klamath,2030,0,0.671064463,0.328935537
Lake,2030,0,0.408669623,0.591330377
Lane,2030,0.715830779,0.129029363,0.155139858
Lincoln,2030,0,0.635795133,0.364204867
Linn,2030,0.469693614,0.296763191,0.233543195
Malheur,2030,0,0.584234381,0.415765619
Marion,2030,0.68207037,0.187156412,0.130773218
Morrow,2030,0,0.70739834,0.29260166
Multnomah,2030,0.989404508,0,0.010595492
Polk,2030,0.347200411,0.485273334,0.167526255
Sherman,2030,0,0.669493677,0.330506323
Tillamook,2030,0,0.472478284,0.527521716
Umatilla,2030,0,0.788673019,0.211326981
Union,2030,0,0.758678111,0.241321889
Wallowa,2030,0,0.584992921,0.415007079
Wasco,2030,0,0.705243843,0.294756157
Washington,2030,0.9527974,0.012647974,0.034554626
Wheeler,2030,0,0.528912403,0.471087597
Yamhill,2030,0,0.77956554,0.22043446
Baker,2035,0,0.708956199,0.291043801
Benton,2035,0.823956508,0.00668011,0.169363381
Clackamas,2035,0.687633431,0.130305375,0.182061195
Clatsop,2035,0,0.731227376,0.268772624
Columbia,2035,0,0.633175757,0.366824243
Coos,2035,0,0.657291698,0.342708302
Crook,2035,0,0.537074318,0.462925682
Curry,2035,0,0.722691397,0.277308603
Deschutes,2035,0.530880388,0.189533456,0.279586155
Douglas,2035,0,0.617220541,0.382779459
Gilliam,2035,0,0.720540855,0.279459145
Grant,2035,0,0.683068634,0.316931366
Harney,2035,0,0.65223279,0.34776721
Hood River,2035,0,0.459744569,0.540255431
Jackson,2035,0.692442475,0.018310131,0.289247394
Jefferson,2035,0,0.454701778,0.545298222
Josephine,2035,0.616446928,0.033202894,0.350350178
Klamath,2035,0,0.673884138,0.326115862
Lake,2035,0,0.401969656,0.598030344
Lane,2035,0.722023821,0.131709141,0.146267038
Lincoln,2035,0,0.64602587,0.35397413
Linn,2035,0.478211543,0.298594681,0.223193776
Malheur,2035,0,0.583274826,0.416725174
Marion,2035,0.688310289,0.189937455,0.121752256
Morrow,2035,0,0.714146561,0.285853439
Multnomah,2035,0.99003776,0,0.00996224
Polk,2035,0.351047597,0.490214564,0.158737839
Sherman,2035,0,0.671364713,0.328635287
Tillamook,2035,0,0.481704013,0.518295987
Umatilla,2035,0,0.795908726,0.204091274
Union,2035,0,0.759812092,0.240187908
Wallowa,2035,0,0.585534555,0.414465445
Wasco,2035,0,0.708990029,0.291009971
Washington,2035,0.954251324,0.013082026,0.03266665
Wheeler,2035,0,0.52862125,0.47137875
Yamhill,2035,0,0.786224395,0.213775605
Baker,2040,0,0.71023318,0.28976682
Benton,2040,0.828730508,0.006598523,0.164670969
Clackamas,2040,0.687214537,0.136470655,0.176314808
Clatsop,2040,0,0.743689657,0.256310343
Columbia,2040,0,0.644809777,0.355190223
Coos,2040,0,0.672341456,0.327658544
Crook,2040,0,0.539384295,0.460615705
Curry,2040,0,0.740687447,0.259312553
Deschutes,2040,0.536212121,0.192974193,0.270813686
Douglas,2040,0,0.626409711,0.373590289
Gilliam,2040,0,0.724615216,0.275384784
Grant,2040,0,0.686020551,0.313979449
Harney,2040,0,0.654952374,0.345047626
Hood River,2040,0,0.463644241,0.536355759
Jackson,2040,0.698927263,0.018800995,0.282271742
Jefferson,2040,0,0.464087989,0.535912011
Josephine,2040,0.635667181,0.034031438,0.330301381
Klamath,2040,0,0.679971148,0.320028852
Lake,2040,0,0.395678995,0.604321005
Lane,2040,0.728117153,0.134414257,0.13746859
Lincoln,2040,0,0.654233018,0.345766982
Linn,2040,0.485321112,0.300712651,0.213966237
Malheur,2040,0,0.582374393,0.417625607
Marion,2040,0.694773731,0.192199553,0.113026716
Morrow,2040,0,0.720327826,0.279672174
Multnomah,2040,0.990620917,0,0.009379083
Polk,2040,0.353994783,0.492769118,0.153236098
Sherman,2040,0,0.67399521,0.32600479
Tillamook,2040,0,0.490249646,0.509750354
Umatilla,2040,0,0.802752556,0.197247444
Union,2040,0,0.761487365,0.238512635
Wallowa,2040,0,0.58676861,0.41323139
Wasco,2040,0,0.712541022,0.287458978
Washington,2040,0.955719617,0.013146836,0.031133547
Wheeler,2040,0,0.52840879,0.47159121
Yamhill,2040,0,0.793387874,0.206612126
Baker,2045,0,0.711931182,0.288068818
Benton,2045,0.833024735,0.006541079,0.160434186
Clackamas,2045,0.686717915,0.142491421,0.170790664
Clatsop,2045,0,0.752485903,0.247514097
Columbia,2045,0,0.655302941,0.344697059
Coos,2045,0,0.687675231,0.312324769
Crook,2045,0,0.539723761,0.460276239
Curry,2045,0,0.756150258,0.243849742
Deschutes,2045,0.541148514,0.197123197,0.261728289
Douglas,2045,0,0.636187207,0.363812793
Gilliam,2045,0,0.728774816,0.271225184
Grant,2045,0,0.689047266,0.310952734
Harney,2045,0,0.657407156,0.342592844
Hood River,2045,0,0.467011469,0.532988531
Jackson,2045,0.706915155,0.019281021,0.273803824
Jefferson,2045,0,0.472880753,0.527119247
Josephine,2045,0.654418033,0.034993312,0.310588655
Klamath,2045,0,0.687336927,0.312663073
Lake,2045,0,0.389920245,0.610079755
Lane,2045,0.734049576,0.136943645,0.12900678
Lincoln,2045,0,0.660894408,0.339105592
Linn,2045,0.491481753,0.302537413,0.205980834
Malheur,2045,0,0.581500294,0.418499706
Marion,2045,0.700893306,0.19381428,0.105292413
Morrow,2045,0,0.726169475,0.273830525
Multnomah,2045,0.991164557,0,0.008835443
Polk,2045,0.356117354,0.494553475,0.149329171
Sherman,2045,0,0.677503514,0.322496486
Tillamook,2045,0,0.4972551,0.5027449
Umatilla,2045,0,0.80930796,0.19069204
Union,2045,0,0.763570715,0.236429285
Wallowa,2045,0,0.588321801,0.411678199
Wasco,2045,0,0.715817709,0.284182291
Washington,2045,0.957228936,0.0131191,0.029651964
Wheeler,2045,0,0.528260302,0.471739698
Yamhill,2045,0,0.800885192,0.199114808
Baker,2050,0,0.714019052,0.285980948
Benton,2050,0.836967922,0.006488671,0.156543407
Clackamas,2050,0.685782361,0.1483293,0.165888339
Clatsop,2050,0,0.758236327,0.241763673
Columbia,2050,0,0.664145447,0.335854553
Coos,2050,0,0.700363137,0.299636863
Crook,2050,0,0.537603401,0.462396599
Curry,2050,0,0.7753511,0.2246489
Deschutes,2050,0.544774341,0.201553189,0.253672469
Douglas,2050,0,0.645167323,0.354832677
Gilliam,2050,0,0.732968571,0.267031429
Grant,2050,0,0.692077463,0.307922537
Harney,2050,0,0.659565456,0.340434544
Hood River,2050,0,0.469668035,0.530331965
Jackson,2050,0.711567951,0.019749893,0.268682156
Jefferson,2050,0,0.480276688,0.519723312
Josephine,2050,0.671004838,0.03588166,0.293113502
Klamath,2050,0,0.694448695,0.305551305
Lake,2050,0,0.38459234,0.61540766
Lane,2050,0.739294274,0.139151841,0.121553885
Lincoln,2050,0,0.665945753,0.334054247
Linn,2050,0.497046434,0.304125886,0.198827679
Malheur,2050,0,0.580698106,0.419301894
Marion,2050,0.706259319,0.19475984,0.098980841
Morrow,2050,0,0.731703353,0.268296647
Multnomah,2050,0.991667288,0,0.008332712
Polk,2050,0.357453596,0.49567384,0.146872564
Sherman,2050,0,0.681537428,0.318462572
Tillamook,2050,0,0.501888372,0.498111628
Umatilla,2050,0,0.815684379,0.184315621
Union,2050,0,0.76584971,0.23415029
Wallowa,2050,0,0.590133493,0.409866507
Wasco,2050,0,0.718831105,0.281168895
Washington,2050,0.958700837,0.013030344,0.028268819
Wheeler,2050,0,0.528160404,0.471839596
Yamhill,2050,0,0.808541253,0.191458747
